,A,B,biasA,biasB,delay
535,3.0,18.0,0.0,0.0,0.0
536,3.0,18.0,1.0,0.0,19.0
537,3.0,18.0,2.0,0.0,38.0
538,3.0,18.0,3.0,0.0,0.0
539,3.0,18.0,4.0,0.0,19.0
540,3.0,18.0,5.0,0.0,38.0
541,3.0,18.0,6.0,0.0,0.0
542,3.0,18.0,7.0,0.0,19.0
543,3.0,18.0,8.0,0.0,38.0
544,3.0,19.0,0.0,0.0,0.0
545,3.0,19.0,1.0,0.0,40.0
546,3.0,19.0,2.0,0.0,20.0
547,3.0,19.0,3.0,0.0,0.0
548,3.0,19.0,4.0,0.0,40.0
549,3.0,19.0,5.0,0.0,20.0
550,3.0,19.0,6.0,0.0,0.0
551,3.0,19.0,7.0,0.0,40.0
552,3.0,19.0,8.0,0.0,20.0
553,3.0,20.0,0.0,0.0,0.0
554,3.0,20.0,1.0,0.0,400.0
555,3.0,20.0,2.0,0.0,800.0
556,3.0,20.0,3.0,0.0,0.0
557,3.0,20.0,4.0,0.0,400.0
558,3.0,20.0,5.0,0.0,800.0
559,3.0,20.0,6.0,0.0,0.0
560,3.0,20.0,7.0,0.0,400.0
561,3.0,20.0,8.0,0.0,800.0
562,3.0,21.0,0.0,0.0,0.0
563,3.0,21.0,1.0,0.0,22.0
564,3.0,21.0,2.0,0.0,44.0
565,3.0,21.0,3.0,0.0,0.0
566,3.0,21.0,4.0,0.0,22.0
567,3.0,21.0,5.0,0.0,44.0
568,3.0,21.0,6.0,0.0,0.0
569,3.0,21.0,7.0,0.0,22.0
570,3.0,21.0,8.0,0.0,44.0
571,3.0,22.0,0.0,0.0,0.0
572,3.0,22.0,1.0,0.0,46.0
573,3.0,22.0,2.0,0.0,23.0
574,3.0,22.0,3.0,0.0,0.0
575,3.0,22.0,4.0,0.0,46.0
576,3.0,22.0,5.0,0.0,23.0
577,3.0,22.0,6.0,0.0,0.0
578,3.0,22.0,7.0,0.0,46.0
579,3.0,22.0,8.0,0.0,23.0
580,3.0,23.0,0.0,0.0,0.0
581,3.0,23.0,1.0,0.0,529.0
582,3.0,23.0,2.0,0.0,1058.0
583,3.0,23.0,3.0,0.0,0.0
584,3.0,23.0,4.0,0.0,529.0
585,3.0,23.0,5.0,0.0,1058.0
586,3.0,23.0,6.0,0.0,0.0
587,3.0,23.0,7.0,0.0,529.0
588,3.0,23.0,8.0,0.0,1058.0
589,3.0,24.0,0.0,0.0,0.0
590,3.0,24.0,1.0,0.0,25.0
591,3.0,24.0,2.0,0.0,50.0
592,3.0,24.0,3.0,0.0,0.0
593,3.0,24.0,4.0,0.0,25.0
594,3.0,24.0,5.0,0.0,50.0
595,3.0,24.0,6.0,0.0,0.0
596,3.0,24.0,7.0,0.0,25.0
597,3.0,24.0,8.0,0.0,50.0
598,3.0,25.0,0.0,0.0,0.0
599,3.0,25.0,1.0,0.0,52.0
600,3.0,25.0,2.0,0.0,26.0
601,3.0,25.0,3.0,0.0,0.0
602,3.0,25.0,4.0,0.0,52.0
603,3.0,25.0,5.0,0.0,26.0
604,3.0,25.0,6.0,0.0,0.0
605,3.0,25.0,7.0,0.0,52.0
606,3.0,25.0,8.0,0.0,26.0
607,3.0,26.0,0.0,0.0,0.0
608,3.0,26.0,1.0,0.0,676.0
609,3.0,26.0,2.0,0.0,1352.0
610,3.0,26.0,3.0,0.0,0.0
611,3.0,26.0,4.0,0.0,676.0
612,3.0,26.0,5.0,0.0,1352.0
613,3.0,26.0,6.0,0.0,0.0
614,3.0,26.0,7.0,0.0,676.0
615,3.0,26.0,8.0,0.0,1352.0
616,3.0,27.0,0.0,0.0,0.0
617,3.0,27.0,1.0,0.0,28.0
618,3.0,27.0,2.0,0.0,56.0
619,3.0,27.0,3.0,0.0,0.0
620,3.0,27.0,4.0,0.0,28.0
621,3.0,27.0,5.0,0.0,56.0
622,3.0,27.0,6.0,0.0,0.0
623,3.0,27.0,7.0,0.0,28.0
624,3.0,27.0,8.0,0.0,56.0
625,3.0,28.0,0.0,0.0,0.0
626,3.0,28.0,1.0,0.0,58.0
627,3.0,28.0,2.0,0.0,29.0
628,3.0,28.0,3.0,0.0,0.0
